id,name,description,url,external_id,created_at,updated_at,last_scraped_at,is_active,is_featured,discovery_method,platform_name,platform_url,platform_description
2412,MIRLAB_home,Vibe-coded application: MIRLAB_home,https://github.com/yj-yu/MIRLAB_home,,2025-09-18T10:56:43.713660,2025-09-18T10:56:43.713660,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2309,Machine_Learning_Unity_Solutions,Here will be implemented the machine learning side of the Octoguy simulations.,https://github.com/deepgaiden/Machine_Learning_Unity_Solutions,,2025-09-18T10:56:43.706106,2025-09-18T10:56:43.706106,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2081,MarkdownReports,"Type Less, Plot More. Create and auto-annotated and -saved (base) plots with very little code, and write (markdown) reports easily from your R scripts.",https://github.com/vertesy/MarkdownReports,,2025-09-18T10:56:43.692899,2025-09-18T10:56:43.692900,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2595,MicroMind-Doc,AI MicroMind Platfor Documentation,https://github.com/AI-MicroMind/MicroMind-Doc,,2025-09-18T10:56:43.730896,2025-09-18T10:56:43.730896,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2303,Multi-Agents,based on camel-ai,https://github.com/sec-staff-lilithgames/Multi-Agents,,2025-09-18T10:56:43.705692,2025-09-18T10:56:43.705692,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2318,My-Web-Project-Repository,Vibe-coded application: My-Web-Project-Repository,https://github.com/Asifpc/My-Web-Project-Repository,,2025-09-18T10:56:43.706593,2025-09-18T10:56:43.706593,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2577,NeoBrowser,Ai Browser + MCP,https://github.com/nitinprajwal/NeoBrowser,,2025-09-18T10:56:43.729318,2025-09-18T10:56:43.729319,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2813,NeoPilot,Vibe-coded application: NeoPilot,https://github.com/khulnasoft-bot/NeoPilot,,2025-09-18T10:56:43.756846,2025-09-18T10:56:43.756847,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2740,NeuroExpert,Vibe-coded application: NeuroExpert,https://github.com/neuroexpert-web/NeuroExpert,,2025-09-18T10:56:43.747188,2025-09-18T10:56:43.747189,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2084,NewsWeb,Vibe-coded application: NewsWeb,https://github.com/feilongfl/NewsWeb,,2025-09-18T10:56:43.692962,2025-09-18T10:56:43.692962,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2663,NexusLLM," NexusLLM is a GitHub repository dedicated to exploring various experiments related to Large Language Models (LLM). From fine-tuning and instruction-tuning to RAG and agent-based systems, it offers a diverse range of experiments and insights for researchers and enthusiasts interested in natural language processing and AI innovation.",https://github.com/Volscente/NexusLLM,,2025-09-18T10:56:43.737988,2025-09-18T10:56:43.737989,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
83,Nick11014/CreateLittleContraptions,,https://github.com/Nick11014/CreateLittleContraptions,989763012,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2496,NucModel,Nuclear Power Plant Financial Model maker,https://github.com/silver2127/NucModel,,2025-09-18T10:56:43.720691,2025-09-18T10:56:43.720692,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2200,Obsidian-Notes,📔 Tracks all my personal notes,https://github.com/Jeswin-8801/Obsidian-Notes,,2025-09-18T10:56:43.698898,2025-09-18T10:56:43.698899,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2269,ObsidianNotes,Vibe-coded application: ObsidianNotes,https://github.com/HiLaVine/ObsidianNotes,,2025-09-18T10:56:43.702787,2025-09-18T10:56:43.702788,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
